run_id,task,emergence_generation,total_solutions_found,first_solution
42,drain,0,745,",<."
42,copy,0,43,",<>."
42,increment,0,22,",+."
42,add_two,0,8,",++."
42,doubling,0,1,",[>++<-]>."
42,oscillator,0,1,",++<[<],>."
42,modular_cycle,0,1,",--<<[-<]->+>>++>++[+<]<++."
42,fibonacci,0,1,",[->+<]-[->],<+<<+<++<+++>>>+>."
42,add_3,1,9,",+[<]>++."
42,alternating_step,7,1,",<-<<<,++[>]<+>>+++."
42,growing_step,74,1,",+++[+>][]+<+<+++<+++>++<+<+++<++<+<++."
42,parity_dependent_step,11,1,",<<<+,>>+<+>+++."
42,double_add_1,798,1,",-[->++<]+<+>,>+++."
42,sawtooth_with_reset_30,,0,
